Date,Open,High,Low,Close,Adj Close,Volume
8/14/2019,50.79000092,51.61000061,50.64749908,50.6875,49.23358154,146189600
8/15/2019,50.86500168,51.28499985,49.91749954,50.43500137,48.9883194,108909600
8/16/2019,51.06999969,51.79000092,50.95999908,51.625,50.14417648,110481600
8/19/2019,52.65499878,53.18249893,52.50749969,52.58750153,51.07906723,97654400
8/20/2019,52.72000122,53.33750153,52.58000183,52.59000015,51.08149719,107537200
8/21/2019,53.24750137,53.41249847,52.90000153,53.15999985,51.63515091,86141600
8/22/2019,53.29750061,53.61000061,52.6875,53.11500168,51.59144211,89014800
8/23/2019,52.35749817,53.01250076,50.25,50.65999985,49.20685577,187272000
8/26/2019,51.46500015,51.79750061,51.26499939,51.62250137,50.14175415,104174400
8/27/2019,51.96500015,52.13750076,50.88249969,51.04000092,49.57596207,103493200
8/28/2019,51.02500153,51.43000031,50.83000183,51.38249969,49.90864944,63755200
8/29/2019,52.125,52.33000183,51.66500092,52.25249863,50.753685,83962000
8/30/2019,52.54000092,52.61249924,51.79999924,52.18500137,50.68811417,84573600
9/3/2019,51.60749817,51.74499893,51.05500031,51.42499924,49.94992065,80092000
9/4/2019,52.09749985,52.36999893,51.83000183,52.29750061,50.79739761,76752400
9/5/2019,53,53.49250031,52.87749863,53.31999969,51.79056549,95654800
9/6/2019,53.51250076,53.60499954,53.12749863,53.31499863,51.78569412,77449200
9/9/2019,53.70999908,54.11000061,52.76750183,53.54249954,52.00667953,109237600
9/10/2019,53.46500015,54.19499969,52.92750168,54.17499924,52.62104416,127111600
9/11/2019,54.51750183,55.92750168,54.43249893,55.89749908,54.29412842,177158400
9/12/2019,56.20000076,56.60499954,55.71500015,55.77249908,54.17271805,128906800
9/13/2019,55,55.19749832,54.25500107,54.6875,53.11883545,159053200
9/16/2019,54.43249893,55.03250122,54.38999939,54.97499847,53.39809036,84632400
9/17/2019,54.99000168,55.20500183,54.77999878,55.17499924,53.59235001,73274800
9/18/2019,55.26499939,55.71250153,54.86000061,55.69250107,54.09501648,101360000
9/19/2019,55.50249863,55.93999863,55.09249878,55.24000168,53.65548325,88242400
9/20/2019,55.34500122,55.63999939,54.36750031,54.43249893,52.87115479,221652400
9/23/2019,54.73749924,54.95999908,54.41249847,54.68000031,53.11154556,76662000
9/24/2019,55.25749969,55.62250137,54.29750061,54.41999817,52.85900497,124763200
9/25/2019,54.63750076,55.375,54.28499985,55.25749969,53.67248154,87613600
9/26/2019,55,55.23500061,54.70750046,54.97249985,53.39566422,75334000
9/27/2019,55.13499832,55.24000168,54.31999969,54.70500183,53.13584137,101408000
9/30/2019,55.22499847,56.14500046,55.19749832,55.99250031,54.38640976,103909600
10/1/2019,56.26750183,57.05500031,56.04999924,56.14749908,54.53695679,139223200
10/2/2019,55.76499939,55.89500046,54.48249817,54.74000168,53.16983795,138449200
10/3/2019,54.60749817,55.24000168,53.78250122,55.20500183,53.62149811,114426000
10/4/2019,56.40999985,56.87250137,55.97249985,56.75249863,55.12460327,138478800
10/7/2019,56.56750107,57.48249817,56.45999908,56.76499939,55.13674927,122306000
10/8/2019,56.45500183,57.01499939,56.08250046,56.09999847,54.49081802,111820000
10/9/2019,56.75749969,56.94749832,56.40999985,56.75749969,55.12946701,74770400
10/10/2019,56.98249817,57.61000061,56.82500076,57.52249908,55.87251282,113013600
10/11/2019,58.23749924,59.40999985,58.07749939,59.05250168,57.35863876,166795600
10/14/2019,58.72499847,59.53250122,58.66749954,58.96749878,57.27606201,96427600
10/15/2019,59.09749985,59.41249847,58.72000122,58.83000183,57.14251328,87360000
10/16/2019,58.34249878,58.81000137,58.29999924,58.59249878,56.9118309,73903200
10/17/2019,58.77249908,59.03749847,58.38000107,58.81999969,57.13279724,67585200
10/18/2019,58.64749908,59.39500046,58.57249832,59.10250092,57.40720367,97433600
10/21/2019,59.38000107,60.24750137,59.33000183,60.12749863,58.40279388,87247200
10/22/2019,60.29000092,60.54999924,59.90499878,59.99000168,58.26924133,82293600
10/23/2019,60.52500153,60.81000137,60.30500031,60.79499817,59.05115509,75828800
10/24/2019,61.12749863,61.20000076,60.45249939,60.89500046,59.1482811,69275200
10/25/2019,60.79000092,61.68249893,60.72000122,61.64500046,59.87677383,73477200
10/28/2019,61.85499954,62.3125,61.68000031,62.26250076,60.47655487,96572800
10/29/2019,62.24250031,62.4375,60.64250183,60.82249832,59.07785416,142839600
10/30/2019,61.18999863,61.32500076,60.30250168,60.81499863,59.0705719,124522000
10/31/2019,61.81000137,62.29249954,59.31499863,62.18999863,60.40613937,139162000
11/1/2019,62.38499832,63.98249817,62.29000092,63.95500183,62.12050629,151125200
11/4/2019,64.33249664,64.46250153,63.84500122,64.375,62.52845764,103272000
11/5/2019,64.26249695,64.54750061,64.08000183,64.28250122,62.43862534,79897600
11/6/2019,64.19249725,64.37249756,63.84249878,64.30999756,62.46531677,75864400
11/7/2019,64.68499756,65.08750153,64.52749634,64.85749817,63.18626022,94940400
11/8/2019,64.67250061,65.11000061,64.21250153,65.03500366,63.35918427,69986400
11/11/2019,64.57499695,65.61750031,64.56999969,65.55000305,63.86090469,81821200
11/12/2019,65.38749695,65.69750214,65.23000336,65.48999786,63.8024559,87388800
11/13/2019,65.28250122,66.19499969,65.26750183,66.11750031,64.41378784,102734400
11/14/2019,65.9375,66.22000122,65.52500153,65.66000366,63.96807861,89182800
11/15/2019,65.91999817,66.44499969,65.75250244,66.44000244,64.72798157,100206400
11/18/2019,66.44999695,66.85749817,66.05750275,66.77500153,65.05434418,86703200
11/19/2019,66.97499847,67,66.34750366,66.57250214,64.85706329,76167200
11/20/2019,66.38500214,66.51999664,65.09999847,65.79750061,64.10202789,106234400
11/21/2019,65.92250061,66.00250244,65.29499817,65.50250244,63.81463242,121395200
11/22/2019,65.64749908,65.79499817,65.20999908,65.44499969,63.75861359,65325200
11/25/2019,65.67749786,66.61000061,65.62999725,66.59249878,64.87653351,84020400
11/26/2019,66.73500061,66.79000092,65.625,66.07250214,64.36994171,105207600
11/27/2019,66.39499664,66.99500275,66.32749939,66.95999908,65.23456573,65235600
11/29/2019,66.65000153,67,66.47499847,66.8125,65.09088135,46617600
12/2/2019,66.81749725,67.0625,65.86250305,66.04000092,64.33828735,94487200
12/3/2019,64.57749939,64.88249969,64.07250214,64.86250305,63.19113159,114430400
12/4/2019,65.26750183,65.82749939,65.16999817,65.43499756,63.74887085,67181600
12/5/2019,65.94750214,66.47250366,65.68250275,66.39499664,64.68412781,74424400
12/6/2019,66.87000275,67.75,66.82499695,67.67749786,65.93357086,106075600
12/9/2019,67.5,67.69999695,66.22750092,66.73000336,65.01052094,128042400
12/10/2019,67.15000153,67.51750183,66.46499634,67.12000275,65.39045715,90420400
12/11/2019,67.20249939,67.77500153,67.125,67.69249725,65.94819641,78756800
12/12/2019,66.94499969,68.13999939,66.83000183,67.86499786,66.11625671,137310400
12/13/2019,67.86499786,68.82499695,67.73249817,68.78749847,67.0149765,133587600
12/16/2019,69.25,70.19750214,69.24500275,69.96499634,68.16213989,128186000
12/17/2019,69.89250183,70.44249725,69.69999695,70.10250092,68.29610443,114158400
12/18/2019,69.94999695,70.47499847,69.77999878,69.93499756,68.13291168,116028400
12/19/2019,69.875,70.29499817,69.73750305,70.00499725,68.20110321,98369200
12/20/2019,70.55750275,70.66249847,69.63999939,69.86000061,68.0598526,275978000
12/23/2019,70.13249969,71.0625,70.09249878,71,69.17047882,98572000
12/24/2019,71.17250061,71.22250366,70.73000336,71.06749725,69.23623657,48478800
12/26/2019,71.20500183,72.49500275,71.17500305,72.47750092,70.60990143,93121200
12/27/2019,72.77999878,73.49250031,72.02999878,72.44999695,70.58310699,146266000
12/30/2019,72.36499786,73.17250061,71.30500031,72.87999725,71.00204468,144114400
12/31/2019,72.48249817,73.41999817,72.37999725,73.41249847,71.52080536,100805600
1/2/2020,74.05999756,75.15000153,73.79750061,75.08750153,73.15265656,135480400
1/3/2020,74.28749847,75.14499664,74.125,74.35749817,72.44146729,146322800
1/6/2020,73.44750214,74.98999786,73.1875,74.94999695,73.01868439,118387200
1/7/2020,74.95999908,75.22499847,74.37000275,74.59750366,72.67527771,108872000
1/8/2020,74.29000092,76.11000061,74.29000092,75.79750061,73.84435272,132079200
1/9/2020,76.80999756,77.60749817,76.55000305,77.40750122,75.41286469,170108400
1/10/2020,77.65000153,78.16750336,77.0625,77.58249664,75.58335876,140644800
1/13/2020,77.91000366,79.26750183,77.78749847,79.23999786,77.19814301,121532000
1/14/2020,79.17500305,79.39250183,78.04250336,78.16999817,76.15571594,161954400
1/15/2020,77.96250153,78.875,77.38749695,77.83499908,75.82935333,121923600
1/16/2020,78.39749908,78.92500305,78.02249908,78.80999756,76.77922058,108829200
1/17/2020,79.06749725,79.68499756,78.75,79.68250275,77.62924957,137816400
1/21/2020,79.29750061,79.75499725,79,79.14250183,77.10315704,110843200
1/22/2020,79.64499664,79.99749756,79.32749939,79.42500305,77.37838745,101832400
1/23/2020,79.48000336,79.88999939,78.91249847,79.80750275,77.75102234,104472000
1/24/2020,80.0625,80.83249664,79.37999725,79.57749939,77.52695465,146537600
1/27/2020,77.51499939,77.94249725,76.22000122,77.23750305,75.24724579,161940000
1/28/2020,78.15000153,79.59999847,78.04750061,79.42250061,77.37593079,162234000
1/29/2020,81.11250305,81.96250153,80.34500122,81.08499908,78.99559021,216229200
1/30/2020,80.13500214,81.02249908,79.6875,80.96749878,78.8811264,126743200
1/31/2020,80.23249817,80.66999817,77.07250214,77.37750244,75.38366699,199588400
2/3/2020,76.07499695,78.37249756,75.55500031,77.16500092,75.17663574,173788400
2/4/2020,78.82749939,79.91000366,78.40750122,79.71250153,77.65847015,136616400
2/5/2020,80.87999725,81.19000244,79.73750305,80.36250305,78.29174042,118826800
2/6/2020,80.64250183,81.30500031,80.06500244,81.30249786,79.20749664,105425600
2/7/2020,80.59249878,80.84999847,79.5,80.00749969,78.13085938,117684000
2/10/2020,78.54499817,80.38749695,78.46250153,80.38749695,78.50193787,109348800
2/11/2020,80.90000153,80.97499847,79.67749786,79.90249634,78.02832031,94323200
